"","id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","DS1_Cell","DS1_Pt","DS76_Cell","DS81_Cell","DS76_Pt","DS81_Pt"
"89","XPO7",561.569492084645,-4.5045242945488,1.12189536060431,-4.01510198965655,5.94200940998039e-05,0.00714710232964495,17,1553,62,52,1833,17
"90","PDLIM2",732.880996733639,-2.69062313145871,0.670960224506465,-4.01010824961769,6.0690917236758e-05,0.00721884743354994,188,679,301,102,1209,1783
"91","ATP2A3",9540.32641544082,-2.90980337350891,0.728520607727913,-3.99412637424755,6.49332255673553e-05,0.00763857340328064,2719,9593,3399,842,30193,9055
"92","NDUFS7",1596.03610538592,-2.65376164217599,0.668024865070211,-3.97254919829529,7.11075435840229e-05,0.00818501348459103,924,1148,302,269,2595,4127
"93","DUSP1",5580.27402745644,-2.11508353199417,0.532099919717446,-3.97497434902324,7.03868419773103e-05,0.00818501348459103,2112,8245,1275,2847,9106,9897
"94","H4C14",341.379719279859,-2.90109668822295,0.733178969313185,-3.95687384615054,7.59370073484457e-05,0.00864793259218203,105,218,80,66,396,1097
"95","EIF2AK4",346.651702438963,-3.62296156847995,0.916263376377111,-3.95406131237623,7.68357061339862e-05,0.00865817088594024,41,102,57,54,327,1354
"96","CLPTM1",1402.25540621182,-3.12133465281302,0.79475424801781,-3.9274211627027,8.58615520785216e-05,0.00957445744792265,415,533,302,199,1642,4859
"97","PACSIN1",1183.96154534048,-3.59250869886365,0.920995315371002,-3.90068075147211,9.59225767689076e-05,0.0104901311581013,413,585,203,19,2233,3331
"98","CIB1",513.367643469049,-3.1735764140515,0.813653603406466,-3.90040233431636,9.60329615594517e-05,0.0104901311581013,126,145,100,90,996,1427
"99","C12orf50",494.027694992832,-2.88354997279222,0.741389163105357,-3.88938780911536,0.000100497414208629,0.0107778505829678,265,274,68,75,1111,1074
"100","ADM5",570.794766486937,-2.73876737975101,0.704244133026303,-3.88894596534569,0.00010068052856579,0.0107778505829678,359,623,58,106,713,1565
"101","PTPN6",1720.38232460968,-2.67963240223988,0.689695888162977,-3.88523760722591,0.000102229854502567,0.0108353524004948,560,1360,697,184,3489,3688
"102","SNIP1",845.53131546601,1.54127680434832,0.397249885056353,3.87986721287453,0.000104513505719193,0.0109687948894506,1602,531,1260,1043,443,367
"103","DDX41",2258.30290657865,-1.88906112401319,0.488005076514347,-3.87098662478289,0.000108395740150331,0.0112657902748476,1585,2855,890,643,3200,4520
"104","NLRC5",6814.68578723069,-2.81535801512213,0.728697146225779,-3.86355021383577,0.000111750908345805,0.0115028218638639,2270,2627,1632,1399,13220,17536
"105","GPNMB",299.41427553821,3.97932630980701,1.03603468625857,3.84091996396137,0.000122574077555915,0.0124967190498673,38,31,1113,357,18,58
"106","MVP",944.413546890976,-1.68337307775333,0.440314528001767,-3.82311500234345,0.000131776279888072,0.0131837857588954,622,1644,497,295,1175,1611
"107","INPP4B",634.259422659328,3.09485834560505,0.80924850060369,3.82436092658352,0.000131111728843384,0.0131837857588954,387,103,2159,613,204,87
"108","TSC22D3",17634.1875601692,-3.53046525708736,0.927169515241333,-3.80778832678555,0.00014021521162651,0.0138981837079795,10002,56284,486,640,11320,38065
"109","ZFP30",514.617579006861,2.06033696956021,0.541483662909119,3.80498454651625,0.000141813044240625,0.0139276021889531,1304,388,643,717,178,94
"110","ANK1",937.447844118966,-3.43089599644786,0.902711172417939,-3.80065750959756,0.00014431265128111,0.0140185230857587,76,5196,214,157,792,265
"111","FAM53B",9012.09367387617,-1.97106158493195,0.518854840762252,-3.79886902864056,0.000145357875994321,0.0140185230857587,4994,23295,1765,4638,11686,11265
"112","IQCN",2086.63401910177,-3.29209794134067,0.86751586971741,-3.79485615913062,0.000147729077339853,0.0141199979725279,652,813,188,412,1541,8241
"113","FLT3LG",236.400884266065,-2.35688729038958,0.621885098887544,-3.7899079662878,0.000150703110956668,0.0142767858654082,111,233,68,65,316,602
"114","MEGF6",4198.57893869462,-2.0640652765587,0.546000635810689,-3.78033493220026,0.000156617527300819,0.0147069353487305,2291,4729,1220,1586,10232,4961
"115","BAG4",576.505948902184,2.19373706253343,0.581910859807389,3.76988507012835,0.000163322739996614,0.0152032167970761,784,324,847,1134,240,98
"116","AK4",1261.42181793221,4.20711706454508,1.12021070381648,3.75564797784179,0.000172893568630813,0.0159553935533866,4174,162,30,3543,34,207
"117","DCAF15",777.437004694822,-3.03122376500647,0.808593911983595,-3.74875907434234,0.000177711699499483,0.0162598610524955,420,661,58,122,650,2675
"118","WWC3",4148.72363454957,1.75767229030547,0.471038028582771,3.73148702153377,0.000190352818480878,0.0167026796871951,10277,3635,5769,4628,1286,1347
"119","SF3B2",3057.38657051424,-2.99948449045763,0.802802582838252,-3.73626661719643,0.000186772634653659,0.0167026796871951,821,870,655,614,4607,9633
"120","KAT2A",4253.24402010088,-3.30163946510918,0.883042461865532,-3.7389362433762,0.000184800583872537,0.0167026796871951,1762,1782,275,668,3347,16517
"121","DOK4",969.916517052029,-2.76888680977532,0.742030680359304,-3.73149909170142,0.000190343696557899,0.0167026796871951,622,839,190,75,2580,1452
"122","CFP",379.591656204448,-2.95050777038441,0.790574196444976,-3.73210735140628,0.000189884541293131,0.0167026796871951,164,591,116,12,472,952
"123","NFE2L2",2295.84079175846,1.68002565600276,0.451567131791731,3.72043387953579,0.000198880807643396,0.0172982380730024,4163,1854,3975,2630,945,742
"124","ZNF845",646.425653367138,1.65547047444396,0.445192820641177,3.71854710518403,0.000200371930971723,0.0172982380730024,1086,473,813,1073,251,269
"125","ATF3",942.641609218121,-2.81162092768636,0.757779191410959,-3.71034327618738,0.00020697839964761,0.0177256301458214,333,3938,300,113,319,1440
"126","GAL3ST4",1487.66872415607,-3.55457964113449,0.960430282533045,-3.70102828469717,0.000214727536752738,0.0182008374947453,732,460,101,55,4801,2361
"127","PRRC2A",527.601685181551,-3.50373643438027,0.947054623855466,-3.69961388300554,0.000215927731138034,0.0182008374947453,68,228,20,158,662,1828
"128","LTB4R",2199.20856664422,-2.32424877308929,0.630323812049586,-3.68738849565539,0.000226567320128345,0.0189484622029214,1653,2115,540,352,3549,4988
"129","HR",242.928997755257,-3.20084121495651,0.869707167110446,-3.68036660614299,0.000232898870880684,0.0192071554164074,65,100,17,66,742,384
"130","RPL26P19",156.832013778729,-3.41602376178317,0.928271467335398,-3.67998358453143,0.000233248968158147,0.0192071554164074,39,30,23,23,424,338
"131","ACY3",342.337432158215,-2.70907876933043,0.737708551004115,-3.67228869130367,0.000240387900542741,0.0196247796871105,39,392,148,68,767,580
"132","PLA2G4B",1093.7562058672,-3.15557511569327,0.859690477748886,-3.67059447250852,0.000241987007818644,0.0196247796871105,426,366,246,71,1531,3587
"133","ZNF14",159.603080616094,2.08954638614829,0.569871482105316,3.66669758316161,0.000245703085043108,0.0197763272585449,503,83,230,136,44,64
"134","AMDHD1",246.68250632926,-3.13027481983738,0.859490847865699,-3.64201064806045,0.000270516880710148,0.0215625221469681,66,77,40,51,323,833
"135","ZNF670",243.284744894361,1.91395089307184,0.525713092657686,3.64067572180116,0.000271923446038364,0.0215625221469681,436,107,446,293,129,75
"136","IRF4",4898.93212116978,2.25996750789386,0.621703376512144,3.63512181737317,0.000277849313613037,0.0218327215215771,8419,1107,6216,9666,1005,2846
"137","SELL",2276.98736877139,-2.80429538518318,0.771751278009571,-3.63367766933378,0.000279409887758623,0.0218327215215771,324,1771,564,723,7604,2027
"138","TMEM229B",125.6613800237,-2.29459688873432,0.6321228693761,-3.62998556119172,0.000283437074352512,0.021986912180751,83,333,43,17,182,156
"139","PSME2",2825.0606930957,-2.4150435422824,0.666662310848067,-3.62258898243431,0.000291669078455911,0.022462715718493,1628,1644,783,545,5464,6381
"140","REC8",1711.7728195462,-3.26312751492757,0.902040618295372,-3.6174950980523,0.000297467962577162,0.0227456752813466,540,1051,78,422,1036,6705
"141","SPA17",139.174830805207,2.30374096019643,0.638577005289372,3.6076165303705,0.000309022759845157,0.0233091452131623,221,53,307,165,64,27
"142","VSIR",2279.19671565391,-3.06688777242551,0.850148134815911,-3.60747456452352,0.000309191837484264,0.0233091452131623,304,2003,1005,102,4075,5648
"143","MROH6",1303.91981669814,-3.53911393114423,0.984591244355701,-3.59450071431436,0.000325014253560385,0.0243306124780694,426,385,92,181,519,5777
"144","SAP25",3180.13295355286,-3.12364647115904,0.87169862458622,-3.58340185823028,0.000339148225888138,0.0252123733203647,1846,1494,371,198,3761,10786
"145","TMEM161A",855.014126680326,-2.66630324590382,0.745035072281687,-3.57876205443351,0.000345225599455753,0.0254707779212231,383,484,174,196,857,2842
"146","NRDC",1786.44289163631,-2.92106499783852,0.819403221018878,-3.56486882515101,0.000364038208495762,0.0254707779212231,973,1125,226,258,1258,6583
"147","STARD8",172.04383297548,-2.88883276143878,0.808457731752438,-3.57326381822938,0.000352559238594872,0.0254707779212231,52,119,62,14,276,469
"148","TMEM91",439.679476729802,-3.11818681084748,0.873977395430426,-3.56781173878279,0.000359974984388123,0.0254707779212231,230,319,65,30,295,1638
"149","STARD4",494.375827550021,1.47687568474064,0.414040194417129,3.56698626040338,0.000361110406221511,0.0254707779212231,1102,366,547,668,229,229
"150","HGSNAT",608.799305882873,1.89518077150457,0.531253642980046,3.56737463647992,0.000360575789563083,0.0254707779212231,1267,541,884,841,182,144
"151","ARHGEF12",2330.97616442535,2.73394371214656,0.766713904988496,3.56579383047394,0.000362756473252864,0.0254707779212231,1559,1541,5030,4617,326,261
"152","ZNF480",1391.125393157,1.5864080663537,0.444059975749297,3.57250856413446,0.000353577916180667,0.0254707779212231,2239,1004,1927,2137,470,727
"153","C19orf38",226.660616719467,-2.60672562800705,0.730283827192093,-3.56946919943413,0.000357705268705361,0.0254707779212231,126,146,54,35,386,576
"154","CDON",297.65113267955,1.93133713037011,0.542462021869881,3.56031768585888,0.000370406404708665,0.0255819391122984,723,211,530,262,117,73
"155","KPTN",607.179517072779,-2.08125722100959,0.584302114804784,-3.56195394176339,0.000368104972257134,0.0255819391122984,421,662,229,119,889,1332
"156","SHKBP1",2216.35077050728,-2.69594197644899,0.757679988121146,-3.55815386273331,0.000373470533169446,0.0256133399743292,1028,1138,490,423,2149,7550
"157","PDP2",812.193418189649,1.8000721333804,0.50611771702256,3.55662738694476,0.000375646368609966,0.0256133399743292,1926,480,1003,1099,469,185
"158","ZBTB6",270.454485828663,2.2786744235463,0.641274810520578,3.5533508975606,0.000380356744778647,0.0257703731193381,669,159,441,320,113,28
"159","PLEC",4631.31457317854,-2.10990799921645,0.594293664924295,-3.55027846289633,0.00038482386980646,0.0259090536243909,1036,5975,1685,2216,8471,7890
"160","LSM7",2963.46416312959,-2.6555857140564,0.752164196704858,-3.53059308817171,0.000414629084841785,0.0275689711380827,1572,1462,490,652,3523,9432
"161","CCDC88B",1299.71805006628,-3.14100254404967,0.889639649310463,-3.53064585923545,0.000414546379019752,0.0275689711380827,441,252,283,139,1777,4426
"162","HMGCR",2257.50713128072,1.56464361154381,0.443817723353315,3.52541939903159,0.00042281281999202,0.0279395755432998,3951,1872,2781,3571,1038,769
